DATE,Server Name,Data IN,Data OUT,Total
04-05-17,vpc-prod-vertex21,270.22GiB,367.53GiB,637.75GiB
04-05-17,vpc-prod-vertex23,279.92GiB,380.51GiB,660.43GiB
04-05-17,vpc-prod-vertex24,272.30GiB,370.36GiB,642.66GiB
04-05-17,vpc-prod-vertex25,284.72GiB,387.11GiB,671.83GiB
04-05-17,vpc-prod-vertex26,277.80GiB,377.63GiB,655.43GiB
04-05-17,vpc-prod-vertex28,281.24GiB,382.51GiB,663.74GiB
04-05-17,vpc-prod-vertex29,266.53GiB,362.58GiB,629.11GiB
04-05-17,vpc-prod-vertex31,287.41GiB,390.70GiB,678.12GiB
04-05-17,vpc-prod-vertex32,278.73GiB,379.00GiB,657.72GiB
04-05-17,vpc-prod-vertex33,264.94GiB,360.31GiB,625.26GiB
04-05-17,vpc-prod-vertex34,287.18GiB,390.39GiB,677.57GiB
04-05-17,vpc-prod-vertex35,278.35GiB,378.43GiB,656.77GiB
04-05-17,vpc-prod-vertex36,269.69GiB,366.59GiB,636.28GiB
04-05-17,vpc-prod-vertex38,269.97GiB,367.25GiB,637.22GiB
04-05-17,vpc-prod-vertex39,278.58GiB,378.68GiB,657.26GiB
04-05-17,vpc-prod-vertex40,284.71GiB,387.03GiB,671.74GiB
04-05-17,vpc-prod-vertex41,277.18GiB,376.87GiB,654.05GiB
04-05-17,vpc-prod-vertex42,272.45GiB,370.53GiB,642.97GiB
04-05-17,vpc-prod-vertex43,285.23GiB,387.75GiB,672.98GiB
04-05-17,vpc-prod-vertex44,277.53GiB,377.34GiB,654.86GiB
04-05-17,vpc-prod-vertex45,262.31GiB,356.77GiB,619.08GiB
04-05-17,vpc-prod-vertex46,281.50GiB,382.75GiB,664.25GiB
04-05-17,vpc-prod-vertex47,270.37GiB,367.80GiB,638.16GiB
04-05-17,vpc-prod-vertex49,288.54GiB,392.24GiB,680.79GiB
04-05-17,vpc-prod-vertex50,278.22GiB,378.27GiB,656.49GiB
04-05-17,vpc-prod-vertex52,277.90GiB,377.98GiB,655.89GiB
04-05-17,vpc-prod-vertex53,280.48GiB,381.26GiB,661.74GiB
04-05-17,vpc-prod-vertex55,279.46GiB,380.09GiB,659.55GiB
04-05-2017,vpc-prod-vertex01-usw,437.20GiB,875.20GiB,1.28TiB
04-05-2017,vpc-prod-vertex02-usw,435.13GiB,871.10GiB,1.28TiB
04-05-2017,vpc-prod-vertex03-usw,437.45GiB,875.70GiB,1.28TiB
04-05-2017,vpc-prod-vertex04-usw,439.19GiB,879.27GiB,1.29TiB
04-05-2017,vpc-prod-vertex05-usw,442.83GiB,867.27GiB,1.28TiB
04-05-2017,vpc-prod-vertex06-usw,443.49GiB,868.73GiB,1.28TiB
04-05-2017,vpc-prod-vertex07-usw,444.65GiB,870.88GiB,1.28TiB
04-05-2017,vpc-prod-vertex08-usw,443.61GiB,868.95GiB,1.28TiB
04-05-2017,vpc-prod-vertex09-usw,438.88GiB,878.45GiB,1.29TiB
04-05-2017,vpc-prod-vertex10-usw,436.23GiB,873.39GiB,1.28TiB
04-05-2017,vpc-prod-vertex11-usw,433.95GiB,868.49GiB,1.27TiB
04-05-2017,vpc-prod-vertex12-usw,436.38GiB,873.64GiB,1.28TiB
04-05-2017,vpc-prod-vertex13-usw,437.45GiB,875.70GiB,1.28TiB
04-05-2017,vpc-prod-vertex14-usw,440.37GiB,881.71GiB,1.29TiB
04-05-2017,vpc-prod-vertex15-usw,437.05GiB,874.82GiB,1.28TiB
04-05-2017,vpc-prod-vertex16-usw,434.66GiB,870.25GiB,1.27TiB
